Lesson,Japanese,English
26,みます 見ます、診ます,check
26,さがします 1 探します、援します,"look for, search"
26,おくれます 遅れます,"be late [for an appointment, etc.]"
26,まに あいます MI 合います,"beintme [for an appointment, efc.]"
26,やります 1,do
26,さんかします 参加します,attend [a party]
26,もうしこみます 申し込みます,"apply for, enter for"
26,つごうが いい 都合が いい,convenient (concerning time)
26,つごうが わるい 都合が Bry,inconvenient (concerning time)
26,きぶんが いい 気分が いい,feel well
26,きぶんが わるい 気分が悪い,feel ill
26,しんぶんしゃ 新聞社,"newspaper publishing company, newspaper"
26,じゅうどう Rit,judo
26,うんどうかい 運動会,athletic meeting
26,ばしょ 場所,place
26,ポランティア,volunteer
26,ーベん 一弁 ~,dialect
26,こんど 今度,"next time, another time"
26,ずいぶん,"pretty, very"
26,ちょくせつ 直接,directly
26,いつでも,any lime
26,どこでも,anywhere
26,だれでも,anybody
26,なんでも 何でも,anything
26,こんな 一 ~,like this
26,そんな 一 ~,like that (near the listener)
26,あんな 一 ~,like that (far from both the speaker and the
27,かいます J 飼います,"keep (a pet), raise (an animal)"
27,たてます 建てます,build
27,はしります 1 去ります,"mun, drive (along a road]"
27,とります 取ります,take [a holiday]
27,みえます 見えます,ja mountain] can be seen
27,きこえます 開こえます (,a sound] can be heard
27,できます {,"an airport] be made, be completed, come into"
27,[くうこうが-ー] [空港がー],existence
27,ひらさきます 開きます,"set up [a class]. open, hold"
27,ベペット,pel ~t
27,とり 島,"bird facet: Age,"
27,こえ 声,voice
27,"なみ 波 Wave - """,a
27,はなび 花火,fireworks Fh Pie na qj
27,けしき RE,"scenery, view “ty ーー"
27,ひるま ER,daytime Les mit )
27,むおかし 音,"old days, ancient times"
27,どうで 道具,"tool, instrument, equipment"
27,じどうはんばいき 自動販売機,vending machine
27,つう しんはんばい 通信販売,"mail order, mail-order sales"
27,クリーニング (,"dry) cleaning, laundry"
27,マンション,"condominium, apartment house"
27,だいどころ 台所,kitchen
27,ーーきょうしつ 一教室 ー,class
27,パーティールーム,party room
27,Se ー後,after ~ (duration of time) のCE
27,> としか,only ~ (used with negatives) —_ 4 Fit
27,ほかの,"other = at hele. we, |"
27,はっきりリ,clearly
27,ほとんど,"almost all (in affirmative sentences), hardly,"
27,※秋葉原,name of a shopping district in Tokyo with many
27,本棚,bookshelf
27,いつか,"someday, sometime’"
27,家,"house, horne"
27,すばらしい,"marvelous, wonderful"
27,子どもたち,children
27,大好き [な],like very much ユー
27,漫画,"cartoon, comic strip"
27,ク,shapc
27,ロボット,robot
27,ト思議[な],"fantastic, mysterious"
27,ポケット,pocket
27,例えば,for example
27,付けます,"attach, put on"
27,自由に,freely
27,飛びます,fly
27,自分,oneself
27,※ドラフえもん,name of a cartoon character
28,うれます 0 売れます C.,"bread] sell, be sold"
28,おどります 踊ります,danee
28,かみます,"chew, bite"
28,えらびます 選びます,choose =
28,ちがいます,a as be different © に
28,かよいます 1 通います て.,goftoand from [university]
28,メモします OW,take a memo
28,まじめ[な],serious
28,れっしん[な],aN eal earnest
28,やさしい 優しい,"gentle, kind"
28,えらい,"a great, admirable"
28,\6 ちょうど いい,"proper, just right"
28,しゅうかん 習慣,custom
28,けいけん 経験,experience
28,ちから カ,power —
28,にんさき AL,popularity ([がくせいたリリーが あります:
28,かたち 形,"form, shape"
28,いろ 色,color
28,あじ 味,taste
28,がム,chewing PUm
28,しなもの 品物,goods
28,ねだん 値段,price
28,さきゅうリりょう 給料,salary
28,ボーナス,bonus
28,ばんでぐみ 番細,program
28,ドラマ,drama .
28,しょうせつ 小説,novel
28,しょうせつか 小説家,novelist
28,かんりにん 管理人,janitor
28,むすこ AT (,my) son
28,むすこさん AT,eA (someone else’s) son
28,むすめ,dR (my) daughter
28,むすめさん WA (,someone else’s) daughter
28,じぶん 自分,oneself
28,しょうらい 将来,future
28,しばらく,a little while
28,たいてい ・,"usually, mostly"
28,それに,in addition
28,それで,and so
28,[ちょっと] お願いが あるんですが。 [,havea favor to ask.
28,ホームステイ,homestay
28,おしゃべりします,chat
28,お知らせ,notice
28,日にち,date
29,あきます 開きます [,a door] open
29,しまります 閉まります [,"a door] close, shut"
29,つきます {,a light] come on
29,きえます 0 消えます [,"a light] go off, disappear"
29,こみます 込みます [,a road] get crowded
29,すきます [,a road] get empty
29,こわれます II 壊れます [,a chair] break
29,われます 割れます [,"a glass] brcak, smash"
29,おれます 折れます [,"a tree] break, snap"
29,やぶれます RAE [,the paper] tear
29,よごれます 汚れます [,the clothes] get dirty
29,つきます 付きます [,a pocket] bc attached
29,はずれます HL 外れます [,a button] be undone
29,「 | ルルペニターがかー],bo
29,。 かかります 掛かります,be locked
29,[お]さら [お]亜,plate。 dish
29,[お]ちゃわん,rice bowl
29,コップ,glass (vessel)
29,がガラス,glass (material)
29,ふぶふくろ Re,bag
29,さいふ、 財布,"wallet, purse"
29,えだ 枝,"branch, twig"
29,えきいん RRA,station employee
29,この へん この,"wl this neighborhood, around here"
29,~ へん ~ 2,the place around ~
29,このくらい,about this size
29,おさきに どうぞ。 お先に どうぞ。 After,"you./Go ahead, please."
29,[ああ、] よかった。 Thank,goodness! (used to express a feeling of
29,ー側 ~,side a
29,ポケット,pocket ーー
29,RAT いません。,don’t remember.
29,確か,"suppose, if ] am correct"
29,※四ツ谷,name of a station in Tokyo
29,にコ,wall
29,指します 1,point
29,駅前,the area in front of a station
29,倒れます,fall-down
29,西,west
29,※三宮,name of a place in Kobe
30,はります 1,"put up, post, paste"
30,かけます 掛けます,hang
30,かざります 飾ります,"display, decorate"
30,ならべます 並べます,"arrange, line up"
30,うえます D 植えます,plant
30,もどします 戻します,"return, put ~ back"
30,まとめます,"put ~ together, put ~ in shape, sum up"
30,かたづけます IL 片づけます,"put things in order, tidy up"
30,しまいます 1,put things in their proper place
30,きめます HL 決めます,decide
30,しらせます U 知らせます,inform
30,そうだんします MW 相談します,"consult, discuss"
30,よしゅうします 予習します,prepare one’s lesson
30,ふくしゅうします UW RBCET,review one’s lesson
30,そのままに します,leave things as they arc
30,おこさん お子さん (,someone else’s) child
30,じゅぎょ2う,ae class
30,こうぎ 講義,lecture
30,ミーティング,meeting
30,よてい 予定,"plan, schedule"
30,おしらせ お知らせ,notice
30,あんないしょ RAS,guide book
30,カレンダー,calendar
30,ポスター,poster
30,ごみばこ TA,"trash can, dustbin"
30,にんぎょう AG,doll
30,かびん 花瓶,vase
30,かがみ 鏡,mirror
30,ひきだし 引き出し,drawer
30,げんかん 云関,"front door, porch, entrance hall"
30,るうか 廊下,"corridor, hallway"
30,かべ BE,wall
30,いけ 池,pond
30,こうばん 交番,police box
30,もとの ところ 元の 所,original place
30,まわりリ 周り,round around
30,まんなか 真ん中,center
30,すみ 隅,corer
30,まだ,still
30,ーーほど,about ~
30,予定表,schedule
30,ご普学さま。 Thank,you for your hard work. (used by a
30,希望,"hope, request"
30,何か ご希望が ありますか。 Do,you have any requests? 29
30,ミュージカル,musical
30,それは いいですね。 That',s a good idca./That sounds nice.
30,丸い,round
30,月,moon
30,ある 一,"one ~, a certain ~"
30,うれしい,"glad, happy"
30,嫌[な],"hateful, disagreeable"
30,すると,and then
30,目が 常めます 0,wake up
31,はじまります 始まります [,"a ceremony] begin, start"
31,つづけます L 続けます,continue
31,みつけます 見つけます,find
31,うけます 受けます,take [an examination]
31,にゅうがくします 貼入学します,cnter [a university]
31,そつきぎょうします DSRLEF,graduate [from a university]
31,しゅっせきします 友出席します,attend [a mceting]
31,きゅうけいします MARMLET,"take a break, take a rest"
31,れんきゅう 連休,consecutive holidays
31,さくぶん 作文,"essay, Composition"
31,てんらんかい RES,exhibition
31,けっこんしき 結婚式,wedding ceremony
31,[お]そうしき [Bb] RX,funeral
31,しき 式,ceremony
31,ほんしゃ Ret,head office
31,してん 支店,branch office
31,きょうかい 教会,church
31,だいがくいん 大学院,graduate school
31,どうぶつえん,ova ZOO
31,おんせん 温泉,"hot spring, spa"
31,おきゃく〈く[さん] お客[さん],"visitor, guest, customer, client"
31,だれか,somebody
31,~D ほう ーーの 方,"place toward ~, dircction of ~"
31,ずっと,all the time
31,"※ビピカソ Pablo Picasso, Spanish",painter (1881-1973)
31,※上野公園 Ueno Park (,in Tokyo)
31,3会話,p
31,残ります,"remain, bc lcft"
31,月 に,per month
31,普通の,"ordinary, common, usual"
31,村,village
31,映画館,movie theater
31,嫌[な],"hateful, disagreeable"
31,閉じます 0,close 7
31,都会,cily
31,子どもたち,children
31,自由に,freely
31,集まりリます 1,gather
31,美しい,beautiful
31,自然,nature
31,すばらしさ,"goodness, virtue"
31,気が つきます 1,"notice, become aware of"
32,うんどうします MW 運動します,take exercise
32,せいこうします MD 成功します,succeed
32,しっぱいします Mo ARLES,fail [an examination]
32,もどります 戻ります,retumn
32,やみます [,rain] stop
32,[あめがー] [,mA s*~]
32,はれます,mes clear up
32,く《もります 愛ります,get cloudy
32,ふきます 吹きます [,wind] blow
32,[びょうきが-ー] [LARA ~],"recover from [sickness], get well"
32,Ltにこしょうが-ー] [数隊が一],"be fixed, be repaired"
32,つづきます 続きます {,high temperature] continue
32,ひきます,catch [a cold]
32,ひやします1 冷やします,cool
32,しんばい [な] 心配[な],"worried, anxious"
32,じゅうぶん[な] 十分[な],"enough, sufficient"
32,おかしい,"strange, funny"
32,うるさい,noisy
32,やけど,burning (を します: get bumed)
32,けが,injury (~ = します: get injured)
32,せき,cough (~4* でます:havea cough)
32,イィインフルエンザ,influenza
32,そら,a sky
32,たいよう AG,sun
32,{ZL 是,star
